Date,Adj Close,Close,High,Low,Open,Volume
1/4/2021,6571.899902,6571.899902,6662.700195,6460.5,6460.5,965097800
1/5/2021,6612.299805,6612.299805,6622.799805,6544.299805,6571.899902,718950800
1/6/2021,6841.899902,6841.899902,6859.100098,6611.899902,6612.299805,1249709500
1/7/2021,6857,6857,6903.600098,6795.100098,6841.899902,939652600
1/8/2021,6873.299805,6873.299805,6886.299805,6836.100098,6857,850778500
1/11/2021,6798.5,6798.5,6873.299805,6768.700195,6873.299805,707799500
1/12/2021,6754.100098,6754.100098,6816.700195,6738.200195,6798.5,648158800
1/13/2021,6745.5,6745.5,6772.600098,6736,6754.100098,619448200
1/14/2021,6802,6802,6802,6736.799805,6745.5,685978100
1/15/2021,6735.700195,6735.700195,6802.100098,6676.600098,6802,740665600
1/18/2021,6720.700195,6720.700195,6741.5,6709.299805,6735.700195,359826900
1/19/2021,6713,6713,6770.700195,6697.700195,6720.700195,618144700
1/20/2021,6740.399902,6740.399902,6751.799805,6697.5,6713,687499600
1/21/2021,6715.399902,6715.399902,6776.899902,6715.399902,6740.399902,621554400
1/22/2021,6695.100098,6695.100098,6715.700195,6651.700195,6715.399902,693954900
1/25/2021,6638.899902,6638.899902,6714.600098,6610.299805,6695.100098,761260500
1/26/2021,6654,6654,6702.399902,6636.299805,6638.899902,683485900
1/27/2021,6567.399902,6567.399902,6661.299805,6505.799805,6654,982451100
1/28/2021,6526.200195,6526.200195,6567.399902,6439.600098,6567.399902,869048100
1/29/2021,6407.5,6407.5,6526.200195,6397.200195,6526.200195,870670500
2/1/2021,6466.399902,6466.399902,6495.600098,6407.5,6407.5,746038100
2/2/2021,6516.700195,6516.700195,6523.5,6466.399902,6466.399902,719054200
2/3/2021,6507.799805,6507.799805,6573.100098,6489.5,6516.700195,717525200
2/4/2021,6503.700195,6503.700195,6553.399902,6478.200195,6507.799805,989919900
2/5/2021,6489.299805,6489.299805,6518.700195,6457.600098,6503.700195,984403300
2/8/2021,6523.5,6523.5,6567.700195,6489.299805,6489.299805,818871300
2/9/2021,6531.600098,6531.600098,6541,6501,6523.5,544655300
2/10/2021,6524.399902,6524.399902,6577,6481,6531.600098,782043000
2/11/2021,6528.700195,6528.700195,6554.200195,6514.899902,6524.399902,673184700
2/12/2021,6589.799805,6589.799805,6589.799805,6485.100098,6528.700195,495851300
2/15/2021,6756.100098,6756.100098,6775.399902,6589.799805,6589.799805,825488200
2/16/2021,6748.899902,6748.899902,6799.899902,6736.899902,6756.100098,817289800
2/17/2021,6710.899902,6710.899902,6760.299805,6701.600098,6748.899902,755390100
